category,product_url,title,publisher,authors,description,image_urls,image_paths,classified
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Sinav-Kocu-Soru-Bankasi-Egitim-Dunyasi-Yayinlari-397164.html,AYT Fizik Sınav Koçu Soru Bankası Eğitim Dünyası Yayınları,Eğitim Dünyası Yayınları,Eğitim Dünyası Komisyon,"AYT Coğrafya Sınav Koçu Soru Bankası, Eğitim Dünyası Yayınları, 9786057798725",https://cdn.kitapsec.com/image/urun/2022/02/16/1644996257.jpg,dtyResimler\AYT-Fizik-Sinav-Kocu-Soru-Bankasi-Egitim-Dunyasi-Yayinlari-397164.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Altin-Karma-651738.html,AYT Fizik Soru Bankası Altın Karma,Altın Karma,Altın Karma Komisyon,"TYT, Tarih, Coğrafya, Deneme, Sınavı, Paketi, Altın, Karma, Yayınları, 4106, yayın, yayıncılık, yayınevi",https://cdn.kitapsec.com/image/urun/2021/09/24/1632470195.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Altin-Karma-651738.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Aromat-Yayinlari-855603.html,AYT Fizik Soru Bankası Aromat Yayınları,Aromat Yayınları,Ahmet Atilla Yılmazer,"TYT Fizik Soru Bankası, Aromat Yayınları, Ahmet Atilla Yılmazer, 9786057087171",https://cdn.kitapsec.com/image/urun/2023/11/18/1700297417.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Aromat-Yayinlari-855603.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Basamak-Yayinlari-376169.html,AYT Fizik Soru Bankası Basamak Yayınları,Basamak Yayınları,Basamak Komisyon,TYT Coğrafya Temel Yeterlilik Çek Kopar Yaprak Test Basamak Yayınları 9786057815590,https://cdn.kitapsec.com/image/urun/2019/09/09/1568021431.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Basamak-Yayinlari-376169.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Bilgi-Sarmal-Yayinlari-536355.html,AYT Fizik Soru Bankası Bilgi Sarmal Yayınları,Bilgi Sarmal Yayınları,Ümit Akca,"AYT Fizik, Yıldızlar Yarışıyor, 20 li Branş Denemesi, Bilgi Sarmal, 9786256712270, deneme, Ümit Akca, Hasan İşbilir, 9786256712270",https://cdn.kitapsec.com/image/urun/2022/07/30/1659183196.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Bilgi-Sarmal-Yayinlari-536355.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Capa-Yayinlari-549153.html,AYT Fizik Soru Bankası Çapa Yayınları,Çapa Yayınları,Çapa Komisyon,"10.Sınıf, Biyoloji, Soru Bankası, Çapa Yayınları, 97862578744748",https://cdn.kitapsec.com/image/urun/2020/09/28/1601276226.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Capa-Yayinlari-549153.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Egzersiz-Yayinlari-884278.html,AYT Fizik Soru Bankası Egzersiz Yayınları,Egzersiz Yayınları,Cemal Turgut,"11. Sınıf, Fizik, Soru Bankası, Egzersiz Yayınları, Cemal Turgut, Nurullah Bozdağ, 9786259429748",https://cdn.kitapsec.com/image/urun/2024/06/26/1719402880.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Egzersiz-Yayinlari-884278.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Ekstrem-Yayinlari-860314.html,AYT Fizik Soru Bankası Ekstrem Yayınları,Ekstrem Yayınları,Ekstrem Komisyon,"TYT Fizik, Soru Bankası, Ekstrem Yayınları, 9786258091458",https://cdn.kitapsec.com/image/urun/2023/12/19/1702989104.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Ekstrem-Yayinlari-860314.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Endemik-Yayinlari-889893.html,AYT Fizik Soru Bankası Endemik Yayınları,Endemik Yayınları,Endemik Komisyon,"9. Sınıf, Tarih, Soru Bankası, Endemik Yayınları, 9786257430975",https://cdn.kitapsec.com/image/urun/2024/08/08/1723112666.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Endemik-Yayinlari-889893.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Soru-Bankasi-Esen-Yayinlari-651780.html,AYT Fizik Soru Bankası Esen Yayınları,Esen Yayınları,Yener Yasun,"2022, Soru Bankası, Esen Yayınları, 9786057927453,",https://cdn.kitapsec.com/image/urun/2022/01/20/1642665839.jpg,dtyResimler\AYT-Fizik-Soru-Bankasi-Esen-Yayinlari-651780.html_1.jpg,Fizik
